🕘️更新时间,#genre#
陕西卫视,http://207.56.13.146:81/cdnlive/snws.m3u8
陕西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=snwshd
陕西卫视,http://58.56.162.102:4466/newlive/live/hls/29/live.m3u8
四川卫视,https://live.264788.xyz/channel/sichuanweishi?streamid=e0e4c1e9fb61857f5bc4b6bb9a2bdcca&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
四川卫视,http://207.56.13.146:81/cdnlive/scws.m3u8
四川卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=scwshd
四川卫视,http://60.10.139.113:8801/hls/30/index.m3u8
四川卫视,http://116.128.243.121:9905/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://58.56.162.102:4466/newlive/live/hls/33/live.m3u8
深圳卫视,https://live.264788.xyz/channel/shenzhenweishi?streamid=85961b14ea610e8adbef8769bea8b26e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
深圳卫视,http://192.151.150.154/live/szwshd.m3u8
深圳卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=szwshd
三沙卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ssws
天津卫视,http://207.56.13.146:81/cdnlive/tjws.m3u8
天津卫视,http://198.204.228.26/live/tjwshd.m3u8
天津卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjwshd
天津卫视,http://60.10.139.113:8801/hls/23/index.m3u8
天津卫视,http://116.128.243.121:9905/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,https://live.264788.xyz/channel/tianjinweishi?streamid=d30a60392735d9a6ff2b72630d81c5d6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
西藏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xzws
西藏卫视,http://58.56.162.102:4466/newlive/live/hls/45/live.m3u8
西藏卫视,https://live.264788.xyz/channel/xizangweishi?streamid=cfb7b8b8dcaf7ff92d4c1476cf321ba7&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
